CAS,SMILES,Experimental value
39080-49-4,O=C1C=C(N=C2N1C(C)CCC2)C,0.67
39080-57-4,O=C1C(=CN=C2C=CC=CN12)C,0.77
39080-62-1,O=C(OCC)C1=CNC2N(C1(=O))CCCC2,0.57
39115-94-1,O=C(NN)c1cccc(c1)I,1.53
39115-95-2,O=C(NN)c1ccc(cc1)I,1.55
39115-96-3,O=C(NN)c1cccc(c1)Br,1.26
39123-39-2,O=C(OCC)c1cnncc1,0.23
39170-83-7,OC1C(C)CCCC1(C),2.28
39190-66-4,N(CCC)CC(C)C,2.07
39190-67-5,N(CCC)C(C)CC,1.91
39201-78-0,O(c1cc(cc(OC)c1(OCCC))CCN)C,1.7
39201-82-6,O(c1cc(cc(OC)c1(OCC))CCN)C,1.11
39209-88-6,n1cc(nc2ccccc12)OC,2.31
39227-53-7,O1c3ccccc3(Oc2c1cccc2Cl),4.75
39227-54-8,O1c3ccccc3(Oc2cc(ccc12)Cl),5
39227-58-2,O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl),6.35
39227-61-7,O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl,7.4
39495-15-3,O=C(Nc1ccc(O)cc1C)C,0.17
39512-51-1,c1ccc(c(c1)N2CCNCC2)C,2.14
39515-41-8,N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3,5.7
39515-51-0,O=Cc2cccc(Oc1ccccc1)c2,3.38
39552-01-7,O=C(c1oc2c(OCC(O)CNC(C)C)cccc2(c1))C,2.02
39617-16-8,O=C(NCc1ccc(OCC(O)CNC(C)C)cc1)C,0.32
39635-34-2,c1c(cc(c(c1Cl)Cl)Cl)c2cc(cc(c2Cl)Cl)Cl,7.47
39635-35-3,c1c(cc(cc1Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,7.43
39638-51-2,O=C(OCCC)C(N)Cc1ccc(O)c(O)c1,0.76
39640-62-5,O=C(N)Cc1ccncc1,-0.65
39700-44-2,O1C(CCC1)=S,0.6
39791-38-3,O=C(OC3(C(=O)CO)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(=O)CC23(C))))C,2.45
39807-15-3,O=C1OC(=NN1c2cc(OCC#C)c(cc2Cl)Cl)C(C)(C)C,3.95
39824-09-4,OCC1OC(OCCCC)C(O)C(O)C1(O),-1.04
39824-10-7,OCC1OC(OCCCCC)C(O)C(O)C1(O),-0.42
39824-11-8,OCC1OC(OCCCCCC)C(O)C(O)C1(O),0.16
39835-28-4,O=[N+]([O-])c1ccc2oncc2(c1),1.46
39845-47-1,C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(C(CC)CC23(C))),4.28
39856-64-9,O=C(OCc1coc(c1)Cc2ccccc2)C,3.24
39860-12-3,n1c(N)n(c2ccc(cc12)C)C,1.47
39880-77-8,O=C(NC)c1cccs1,0.84
39923-25-6,O=C1c2ccccc2(N=NN1CSP(=O)(OCC)OCC),1.63
39928-74-0,O=Cc1cnc(n1C)[N+](=O)[O-],-0.1
39938-79-9,O=C(Nc1cccc(N)c1)N(C)C,-0.1
39960-99-1,O=C(N)c1ccc(cc1)C(O)C(NC(=O)C(Cl)Cl)CO,-0.48
39961-02-9,O=C(Nc1ccc(cc1)C(O)C(NC(=O)C(Cl)Cl)CO)C2CC2,0.75
39961-07-4,O=C(N)Nc1ccc(cc1)C(O)C(NC(=O)C(Cl)Cl)CO,-0.6
39965-42-9,O=C(C=Cc1oc(cc1)[N+](=O)[O-])NC(C)(C)C,2.33
40016-42-0,O=[N+]([O-])c2cnc(N1C(NCC1)=S)s2,1.7
40026-24-2,O=C(O)C2Oc1ccc(cc1CC2)Cl,2.4
40027-72-3,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])CBr,0.66
40027-73-4,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])CI,1.03
40065-00-7,FC(F)(F)c2ccccc2(N=C1NCCN1),1.42
40065-09-6,N(=C1NCCN1)c2c(cc(cc2Cl)Br)Cl,2.66
40089-90-5,n1ccc(cc1)CCCCCCC,5
40117-28-0,[O-][N+](=Cc1ccc(OC)cc1)C(C)(C)C,1.21
40117-29-1,[O-][N+](=Cc1ccc(cc1)C)C(C)(C)C,1.74
40186-72-9,c2c(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl,9.14
40228-90-8,O=C(O)CCCCCCc1ccccc1,3.63
40246-14-8,O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(OC(=O)C)C2)C(O)C3)C(OC(=O)C)C4)CCC5(C)C8(CC(O)C67(C))),2.45
40256-75-5,O=C(NCCN(CC)CC)c1cc(ccc1(OC))Cl,3.11
40257-94-1,N#CC(C#N)=NNc1ccc(cc1)C,3.2
40262-48-4,N#Cc1nc(cnc1)N(C)C,1.12
40262-54-2,O=C(OC)c1nc(cnc1)N(C)C,0.9
40262-55-3,O=C(N)c1nc(cnc1)N(C)C,0.38
40274-67-7,O=C(O)c1ccc2Oc3ccccc3(C(=O)c2(c1)),3.12
40279-26-3,n1c2ccccc2(ccc1SC),3.04
40295-80-5,OC(c1ccc2ccccc2(c1))C,2.68
40297-47-0,O=C(Nc1cccc(OC)c1)CN2CCCCC2,2.71
40321-76-4,O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl,6.64
40361-79-3,O=C(OC)c1cnc(n1C)[N+](=O)[O-],0.51
40427-75-6,OCC1OC(OCCCCCCCC)C(O)C(O)C1(O),1.46
40487-42-1,O=[N+]([O-])c1cc(c(c(c1(NC(CC)CC))[N+](=O)[O-])C)C,5.18
40533-52-6,n1c(nc(nc1NCC2CC2)Cl)NCC,2.85
40575-34-6,O=C(Oc1ccc(cc1Cl)Cl)N2CCCC2,3.94
40581-94-0,O1c3cc(c(cc3(Oc2c1c(ccc2Cl)Cl))Cl)Cl,6.39
40596-69-8,O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,5.5
40611-76-5,O=C(OC)c1c[nH]c(c1)C,1.96
40637-78-3,O=C(N)c1c(cccc1C)[N+](=O)[O-],0.1
40673-68-5,O=C(c1ccccc1(NCCO))C,1.59
40725-71-1,O=P(N(C)C)(N(C)C)N1CCCC1,0.82
40805-79-6,N#Cc1cncnc1,-0.5
40837-24-9,O=C1N(c3ccc(N)cc3(C(=NC1)c2ccccc2))COC,1.32
40837-34-1,O=C1N(c3ccc(N)cc3(C(=NC1)c2ccccc2(F)))COC,1.31
40843-25-2,O=C(O)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C,4.58
40852-07-1,n1cc(cc2nc([nH]c12)SC)Cl,2.39
40861-87-8,O=C1C=C(OC(=C1(O))CCC)C,1.4
40863-78-3,O=C(OCc2c1C(=O)C(OC)=C(C(=O)c1n3c2C(OC(=O)C)CC3)C)N,1.54
40912-73-0,O=C(N)c1cc(cc(c1(O))C)Br,2.76
40912-87-6,O=C(NC)c1cc(cc(c1(O))C)Br,3.51
40912-88-7,O=C(NCC)c1cc(cc(c1(O))C)Br,3.61
40912-89-8,O=C(NCCCC)c1cc(cc(c1(O))C)Br,4.21
40929-49-5,O=C(N)c1cncnc1,-0.92
40929-50-8,O=C(OCC)c1cncnc1,0.52
40948-30-9,O=C(NCCCN(C)C)c1ccccc1,1.27
41020-77-3,O=C1OC4(CC1)(CCC3C5C(C(=O)OCC)CC2=CC(=O)CCC2(C)C5(CCC34(C))),2.54
41038-69-1,n1cccc(c1)CCCN,0.44
41078-01-7,O=C1NC(=O)N(c2[nH]cnc12)CC,-0.11
41078-02-8,O=C1NC(=O)N(c2[nH]cnc12)CCC,0.33
41078-03-9,O=C1NC(=O)N(c2[nH]cnc12)CCCC,0.84
41083-11-8,n1cnn(c1)[Sn](C2CCCCC2)(C3CCCCC3)C4CCCCC4,5.3
41100-45-2,NC13(CC2CC(C1)CC(CC)(C2)C3),3.4
41107-56-6,O=C1C=CN(C(=O)N1)C2OC(CO)C(F)C2,-0.49
41110-33-2,O=C(OC)c1ncc(nc1)C,0.17
41110-34-3,O=C(OCC)c1ncc(nc1)C,0.61
41110-38-7,O=C(OC)c1nc(cnc1)C,0.1
41110-39-8,O=C(OCC)c1nc(cnc1)C,0.51
41110-59-2,O=NN(C(=O)NCC1OC(OC)C(O)C(O)C1(O))C,-1.57
41167-74-2,O=C2N(c1ccc(cc1)Br)C(=O)CC2,1.18
41198-08-7,O=P(Oc1ccc(cc1Cl)Br)(OCC)SCCC,4.68
41205-21-4,O=C1C(=C(C(=O)N1c2ccc(F)cc2)Cl)Cl,2.3
41229-10-1,n1cnc(c2ccccc12)N3CCCCC3,2.92
41394-05-2,O=C1C(=NN=C(N1(N))C)c2ccccc2,0.83
41410-39-3,N#CNC(=N)Nc1ccccc1,1.05
41411-63-6,c1cc(ccc1c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,7.31
41451-75-6,O=C(OC3C(=O)OC2CC1C(=C(O)C(=O)CC1(C)C5C(O)C(O)C4(OCC25(C34))(C(=O)OC))C)C=C(C)C(C)C,1.66
41464-39-5,c2cc(c1cc(ccc1Cl)Cl)c(c(c2)Cl)Cl,5.81
41464-40-8,c1cc(cc(c1c2cc(ccc2Cl)Cl)Cl)Cl,6.22
41464-49-7,c2cc(c1cc(cc(c1)Cl)Cl)c(c(c2)Cl)Cl,6.17
41464-51-1,c2cc(c1cc(c(cc1Cl)Cl)Cl)c(c(c2)Cl)Cl,6.67
41483-43-6,O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C,2.7
41532-81-4,O(c1ccccc1)CCOC,1.73
41536-80-5,n1cc(nc(N)c1)N,-0.45
41538-42-5,O(c1cc(c(OC)cc1CC(N)C)C(C)(C)C)C,3.91
41643-81-6,O=C(OCC)COc1cccc2ccccc12,2.9
41656-75-1,O=CNc1ccc(cc1)C(=O)C,0.94
41708-72-9,O=C(Nc1c(cccc1C)C)C(N)C,0.76
41744-40-5,O=C(O)C3N2C(=O)C(NC(=O)C(c1ccccc1)S(=O)(=O)O)C2SC3(C)(C),0.59
41859-85-2,O=C(NCc1ccc(O)cc1)c2ccccc2,1.87
41941-66-6,O=P4(O)(OCC5OC(n1c3ncnc(N)c3(nc1Sc2ccc(cc2)Cl))C(O)C5(O4)),-0.98
41992-17-0,O=C1CC[Ge](CC)(CC)CC1,3.32
42013-74-1,O=N1C(C)(C)CC(N(C)CCO)CC1(C)(C),0.53
42103-65-1,O=C(O)C=COc1ccccc1,2.27
42116-76-7,O=[N+]([O-])c1cnc(n1CCNC(OC)=S)C,1.15
42126-84-1,c1ccc2c(c1)c3ccc4C=CCc5ccc2c3c45,5.78
42135-22-8,O=C2c1ccccc1c3cc(ccc23)[N+](=O)[O-],3.06
42144-78-5,n1c(OCC)cccc1Cl,2.55
42175-93-9,O=C(NCc1ccccc1)CN2CCCC2,1.69
42200-33-9,OC(COc1cccc2c1CC(O)C(O)C2)CNC(C)(C)C,0.81
42270-37-1,n1ccsc1N2CCNCC2,0.61
42288-41-5,O=C(O)COc1ccc(cc1)S(=O)(=O)C,0.06
42307-14-2,O=[N+]([O-])c1cncn1CC#C,0.52
42322-29-2,O=C(Oc1cccc2cccnc12)OCC,1.73
42327-99-1,O=C(C)C(C)CN1CCCCC1,1.28
42346-68-9,O=C(O)C1CC(=O)N(C)C1,-1.5
42464-80-2,O=C(Nc2cccc1ncccc12)C,0.71
42471-28-3,O=NN(C(=O)NCc1cnc(nc1(N))C)CCCl,0.39
42509-80-8,n1c(nn(c1Cl)C(C)C)OP(OCC)(OCC)=S,3.82
42548-73-2,O=C(N)c1ccc(N=NN(O)C)cc1,-0.22
42558-93-0,O=NN(C(=O)NC1CCC(C(=O)O)CC1)CCCl,1.61
42576-02-3,O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-],4.48
42583-67-5,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(F)(F)F,1.07
42585-33-1,O=N1C(C)(C)CC(NC)CC1(C)(C),0.84
42609-73-4,O=C(NC(c1ccccc1)(C)C)N(c2ccccc2)C,3.02
42755-32-8,n1nc(sc1C)SCc2ccccc2,2.35
42835-25-6,O=C(O)C3=CN2c1c(cc(F)cc1CCC2C)C3(=O),1.6
42839-04-3,N#Cc1ncncc1,-0.08
42839-08-7,O=C(OCC)c1ncccn1,-0.31
42865-65-6,O=C(Nc1cccc(c1)C(=O)C)N(C)C,0.95
42874-01-1,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2,4.54
42874-03-3,O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC),4.73
42924-53-8,O=C(C)CCc1ccc2cc(OC)ccc2(c1),3.08
43013-70-3,O=C(OCC)C=COc1ccccc1,3.18
43032-67-3,O=S(=O)(c1cccc(OC)c1)C,0.76
43121-43-3,O=C(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C,2.77
43170-88-3,O=C(OCC)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)OCC,0.98
43170-96-3,n1c(cn2c1CCCC2)CCN,0.59
45810-14-8,O=C(Nc1cncnc1)C,-0.22
46061-25-0,O=NN1CCC(CC1)C(C)(C)C,2.54
46114-16-3,NC(Cc1ccccc1)C(C)C,2.59
46209-39-6,n1cnn(c1)Cc2ccc(cc2)Cl,1.84
46348-76-9,O=C(C=C)NCCCN1CCOCC1,-0.53
46781-41-3,N=1C(=NC(N(C=1N)c2ccc(cc2)I)(C)C)N,1.39
46833-92-5,O=C(NC(=N)N)Nc1ccc(c(c1)Cl)[N+](=O)[O-],1.79
47071-11-4,FC(F)(F)c1ccc(cc1)N2C(=NC(=NC2(C)C)N)N,1.22
47082-97-3,C#CCOc1ccccc1(OCC(O)CNC(C)(C)C),2.32
47141-42-4,O=C2c1cccc(OCC(O)CNC(C)(C)C)c1CCC2,2.4
49540-85-4,O=C(Oc1ccc(N=C=S)cc1)c2ccccc2,4.9
49547-83-3,o1cccc1CCCN(C)C,2.08
49558-02-3,O=[N+]([O-])c1no[n+]([O-])c1C,0.78
49561-47-9,O=[N+]([O-])c2oc(C=Cc1nccs1)cc2,1.97
49606-44-2,O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))Cl)CC(F)(F)F,3.36
49648-35-3,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(C)Cl,0.98
49648-37-5,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(F)F,0.42
49648-38-6,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])CF,0.15
49648-42-2,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Br)(Br)Br,2.17
49648-47-7,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])Cc2ccccc2,1.52
49648-48-8,N#CC(C(=O)NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])c2ccccc2,1.47
49648-49-9,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(CC)CC,1.71
49648-50-2,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(C)(C)C,1.33
49648-53-5,O=C(NC(CO)C(O)c1ccc(cc1)I)C(Cl)Cl,2.22
49648-64-8,O=C(NC(CO)C(O)c1ccc(cc1)c2ncccc2)C(F)(F)F,1.31
49739-37-9,[O-][n+]1onc(c1Sc2ccccc2)C,2.74
49739-38-0,O=S(=O)(c1no[n+]([O-])c1C)CC,0.65
49739-39-1,O=S(=O)(c1nonc1C)CC,0.92
49739-41-5,O=S(=O)(c1no[n+]([O-])c1C)c2ccccc2,2.03
49739-42-6,O=S(=O)(c1nonc1C)c2ccccc2,2.36
49739-43-7,O=S(=O)(c1ccccc1)c2c(no[n+]2([O-]))C,2.26
49845-48-9,n1cc(c(nc1N)N)Cc2cc(OC)c(c(OC)c2)C,2.14
50267-50-0,O=C2C1=C(CCCC1)SS2,2.4
50275-23-5,n1onc(c1C)Sc2ccccc2,2.92
50285-70-6,O=NN(C(=O)N(CC)CC)CC,1.54
50285-71-7,O=NN(C(=O)N(C)C)CC,0.71
50285-72-8,O=NN(C(=O)N(CC)CC)C,1.11
50342-50-2,O=C(N)c1oc2ccccc2(c1),1.54
50375-10-5,O(c1c(ccc(c1Cl)Cl)Cl)C,3.64
50394-27-9,O=C1OC4(CC1)(CCC3C6CCC2=CC(=O)CCC2(C)C56(OC5(CC34(C)))),1.89
50397-65-4,O=C(OC)CS(=O)(=O)c1ccc(cc1)Br,1.52
50405-18-0,O=C(NN)NCCCCC,-0.04
50405-44-2,O=C1OC(C)C(C)C(O)C1C,0.36
50463-48-4,O=C(O)CCc2ccc(OCc1ccccc1)cc2,3.31
50471-44-8,O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C,3.1
50512-35-1,O=C(OC(C)C)C(C(=O)OC(C)C)=C1SCCS1,2.88
50531-51-6,N(=C1NCCN1)c2cc(OC)ccc2(OC),0.97
50550-65-7,O=NN1C(=O)CCCC1,-1.05
50563-36-5,O=C(N(c1c(cccc1C)C)CCOC)CCl,2.17
50574-87-3,O=C(N1CCOCC1)COc2ccc(cc2)N3C(=NC(=NC3(C)C)N)N,-1.18
50585-76-7,O=S(=O)(Nc1ccc(cc1)Cl)CF,2.25
50585-77-8,O=S(=O)(Nc1ccc(cc1)c2ccccc2)C(F)(F)F,4.97
50590-05-1,O=[N+]([O-])c1c(cc(OP(OC)(OC)=S)cc1C)C,3.89
50590-06-2,O=[N+]([O-])c1c(cc(OP(=O)(OC)OC)cc1C)C,2.57
50594-66-6,O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-],3.7
50594-67-7,O=C(OC)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-],4.26
50615-69-5,OCC1OC(C(O)C(O)C1(O))SCCCCCCC,1.5
50615-70-8,OCC1OC(C(O)C(O)C1(O))SCCCc2ccccc2,0.38
50618-71-8,O=C(NS(=O)(=O)c1ccccc1)N(CC)CC,0.99
50629-82-8,O=C2C=C3C(F)CC1C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C1(F)C3(C=C2Cl)C),2.58
50693-98-6,O=C(OC)CSc1ccccc1[N+](=O)[O-],1.88
50700-61-3,O=C1C=CN(C=C1(O))C,-0.7
50702-39-1,O=S(=O)(N)c1cccc(c1)I,1.58
50728-06-8,O=P(OCC)(CC)SCCSCC,2.03
50780-68-2,O=C(OCCC)C(C(=O)OCCC)=C1SCCS1,3.35
50780-69-3,O=C(OCCCC)C(C(=O)OCCCC)=C1SCCS1,4.6
50780-72-8,O=C(OC(C)(C)C)C(C(=O)OC(C)(C)C)=C1SCCS1,4.01
50780-76-2,O=C(OCC)C(C(=O)OC(C)C)=C1SCCS1,2.9
50782-69-9,O=P(OCC)(C)SCCN(C(C)C)C(C)C,2.09
50785-22-3,O=C(OCC(=O)N)c1ccccc1(OC(=O)C),0.22
50785-24-5,O=C(OCC(=O)OCC)c1ccccc1(OC(=O)C),1.67
50789-46-3,O=C(NC)c2cccc(Oc1ccccc1)c2,2.86
50832-71-8,O=[N+]([O-])c2oc(C=Cc1nnc[nH]1)cc2,1.1
50846-57-6,O=C(NCCn1c(ncc1[N+](=O)[O-])C)C,-0.47
50868-74-1,O=C(Nc1cccc(OC)c1C)C,1.13
50916-16-0,O=C(Nc1cccc(c1)C)Cc2ccccc2,3.14
50916-19-3,O=C(Nc1cccc(OC)c1)Cc2ccccc2,2.86
50916-21-7,O=C(Nc1ccc(OC)cc1)Cc2ccccc2,2.49
50917-19-6,O=C1C(=NN=C(N1(N))N2CCOCC2)C(C)C,0.49
50917-22-1,O=C1C(=NN=C(N1(N))SCC)C(C)C,1.52
50917-23-2,O=C1C(=NN=C(N1(N))SCCC)C(C)C,2.12
50917-24-3,O=C1C(=NN=C(N1(N))SC(C)C)C(C)C,2.06
50917-25-4,O=C1C(=NN=C(N1(N))SCCCC)C(C)C,3.21
51008-91-4,O=C1OCC(=C1)C4C(OC(=O)C)CC5(O)(C6CCC3CC(OC2OC(C)C(OC(=O)C)C(OC)C2)CCC3(C)C6(CCC45(C))),2.95
51012-32-9,O=C(NCCN(CC)CC)c1cc(ccc1(OC))S(=O)(=O)C,0.9
51022-76-5,O=[N+]([O-])c1cnc(n1CCNC(OC)=S)CC,1.46
51048-00-1,O=C(O)C1Oc2ccccc2(C(=O)C1),1.26
51055-31-3,O=C(NCCC)c1cnccc1,0.66
51074-95-4,O=C(Oc1ccc(cc1)C(=O)N)C,0.27
51092-19-4,N#CC4CC1=CC(=O)CCC1(C)C5CCC3(C)(C(CCC23(OC(=O)CC2))C45),1.67
51114-25-1,O=C(OCC)CN(C(=O)CCl)c1ccccc1Cl,2.3
51114-26-2,O=C(OCC)CN(c1ccccc1)C(=O)CCl,1.6
51152-91-1,OC5(CCN4CC3c1ccccc1CCc2cccc(c23)C4C5)C(C)(C)C,5.2
51170-56-0,O=C(OCc1ccccc1)N(CC)CC,2.93
51207-31-9,o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl,6.53
51218-45-2,O=C(N(c1c(cccc1CC)C)C(C)COC)CCl,3.02
51218-49-6,O=C(N(c1c(cccc1CC)CC)CCOCCC)CCl,4.08
51220-06-5,N#Cc1ccc(cc1)C=CC(=O)C,1.64
51234-28-7,O=C(O)C(c1ccc2oc(nc2(c1))c3ccc(cc3)Cl)C,3.23
51235-04-2,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C,1.85
51246-73-2,O=C(c1ccncc1)c2ccccc2(OC),1.86
51246-76-5,O=C(c1ccncc1)c2ccc(cc2)S(=O)(=O)N,0.56
51246-77-6,O=C(c1ccncc1)c2ccc(O)cc2,1.37
51246-79-8,O=C1N=C(N)C=CN1C2OC(CO)C(F)C2,-0.89
51264-00-7,n1c[nH]c(c1CCCCNC(NC)=S)C,0.85
51264-74-5,O=Cc1ccc(OCCOC(=O)CC)c(OC)c1,1.33
51307-86-9,O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2(F)))CC,2.92
51308-54-4,n2cccc(N=C(SCc1ccc(cc1)C(C)(C)C)SCCCC)c2,7
51338-10-4,O=C(O)COc2ccc(Oc1ccc(cc1Cl)Cl)cc2,4.51
51338-27-3,O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C,4.62
51344-12-8,O(c1ccc(OCCN(C)C)cc1)C,1.23
51344-14-0,O(c1ccc(cc1)C)CCN(C)C,2.17
51422-77-6,O=C(OC)Nc1cccc(OC)c1,1.92
51450-97-6,O=C2ON=C(C2(=NNc1ccccc1Cl))C,2.6
51460-47-0,O=C(N)c1ccsc1,0.5
51466-74-1,O(c1ccccc1)[Si]23(OCCN(CCO2)CCO3),-0.3
51466-75-2,O(c1ccc(cc1)C)[Si]23(OCCN(CCO2)CCO3),0.08
51466-76-3,O(c1ccc(cc1)Cl)[Si]23(OCCN(CCO2)CCO3),0.6
51527-19-6,O=C(O)Cc2c(c1cc(ccc1s2)Cl)C,3.92
51543-29-4,O=S(=O)(c1ccc(N)cc1)N(c2ncccc2)C,1.3
51575-56-5,OCC1OC(C(O)C(O)C1(O))SCCCCCC,0.86
51581-33-0,O=C(Oc1cccnc1[N+](=O)[O-])N(C)C,0.54
51581-34-1,O=C(Oc1cccnc1Cl)N(C)C,1.04
51581-35-2,O=C(Oc1cccnc1Br)N(C)C,1.14
51581-36-3,O=C(Oc1cccnc1I)N(C)C,1.26
51596-10-2,O=C3OC2CC(OC1(OC(C)C(C)CC1)C2)CC=C(C)CC(C=CC=C4COC5C(O)C(=CC3C45(O))C)C,5.3
51596-11-3,O=C3OC2CC(OC1(OC(CC)C(C)CC1)C2)CC=C(C)CC(C=CC=C4COC5C(O)C(=CC3C45(O))C)C,5.9
51630-58-1,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3,6.2
51688-32-5,O=S(=O)(c1ccc(N)cc1)c2ccc(cc2)N(CC)CC,3
51688-73-4,O=C(Nc1ccc(cc1CC)Br)C,2.27
51707-42-7,O=C(NN)Nc1cccc(c1)Cl,0.83
51740-69-3,O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(OC)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CC(OC(=O)C)C67(C))),2.87
51753-57-2,O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2Cl))Br,3.3
51754-90-6,O=P(N(C)C)(N(C)C)N(CC)CC,0.66
51803-78-2,O=[N+]([O-])c2ccc(NS(=O)(=O)C)c(Oc1ccccc1)c2,2.6
51892-26-3,O(c1ccccc1)c2ccc(cc2Cl)Cl,4.93
51908-16-8,c2c(c1cc(c(cc1Cl)Cl)Cl)c(c(cc2Cl)Cl)Cl,7.12
51939-71-0,O=C(O)C2Oc1ccccc1CC2,1.9
51940-44-4,O=C(O)C1=CN(c2nc(ncc2(C1(=O)))N3CCNCC3)CC,-2.15
51963-47-4,O=C(NNC(C)C)C(Oc1ccccc1)C,1.39
51963-48-5,O=C(NNC(C)C)COc1ccccc1Cl,1.82
51963-49-6,O=C(NNC(C)C)COc1cccc(c1)Cl,1.91
51963-50-9,O=C(NNC(C)C)C(Oc1ccccc1Cl)C,2
51963-51-0,O=C(NNC(C)C)C(Oc1cccc(c1)Cl)C,2.18
51963-52-1,O=C(NNC(C)C)C(Oc1ccc(cc1)Cl)C,2.14
51963-53-2,O=C(NNC(C)C)C(Oc1ccccc1)(C)C,1.88
51994-35-5,O=C(O)CCCC(=O)c1ccc(cc1)c2ccccc2,3.35
52019-05-3,O=NN(C(=O)NC1C(O)COC(OC)C1(O))C,-1.08
52019-60-0,O=C(NNC(C)C)COc1ccccc1,1.24
52049-26-0,O=NN(C(=O)NC1CCC(O)CC1)CCCl,1.06
52067-44-4,O=P(OC)(NC(C)(C)C)SC,0.96
52067-48-8,O=P(OC)(NCC)SC,0.07
52067-49-9,O=P(OC)(NCCCC)SC,0.94
52067-50-2,O=P(OC)(NC(C)CC)SC,0.95
52067-51-3,O=P(OC)(NCC(C)C)SC,0.97
52067-52-4,O=P(OC)(NCCCCCC)SC,1.11
52092-59-8,Oc1c(OC)c(OC)c(O)c(OC)c1(OC),0.39
52093-77-3,O=C(NNCC)COc1ccccc1,1
52093-78-4,O=C(NNCc1ccccc1)COc2ccccc2,2.16
52093-79-5,O=C(NNC(c1ccccc1)C)COc2ccccc2,2.46
52102-38-2,O=C(NC)NS(=O)(=O)c1ccccc1,0.44
52102-41-7,O=C(NC(C)(C)C)NS(=O)(=O)c1ccccc1,1.95
52102-43-9,O=C(NC)NS(=O)(=O)c1ccc(cc1)Cl,1.16
52113-78-7,O=C(OCC(C)C)N(C)C,2
52121-41-2,O=C(Nc1ccc(c(c1)CC)Br)C,3.33
52128-35-5,n1c(nc2ccc(c(c2(c1N))C)CNc3cc(OC)c(OC)c(OC)c3)N,2.55
52189-36-3,O=C(OC)c1cccc(c1)NC(=O)C,1.46
52190-69-9,O=C(NNC(N)=S)c1ccc2OCOc2(c1),0.21
52222-71-6,n1cc(c[nH]1)CCCCC,2.96
52237-19-1,O=C(O)CC(c1ccc(F)cc1)CN,-1.6
52248-39-2,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2c(cccc2Cl)Cl)C3S(=O)C4(C)(C),2.57
