CAS,SMILES,Experimental value
60-11-7,N(=Nc1ccc(cc1)N(C)C)c2ccccc2,4.58
60-12-8,OCCc1ccccc1,1.36
60-17-3,O=C(O)C(N)Cc1ccc(F)cc1,-1.89
60-18-4,O=C(O)C(N)Cc1ccc(O)cc1,-2.15
60-29-7,O(CC)CC,0.89
60-32-2,O=C(O)CCCCCN,-2.95
60-33-3,O=C(O)CCCCCCCC=CCC=CCCCCC,7.05
60-34-4,NNC,-1.05
60-35-5,O=C(N)C,-1.26
60-51-5,O=C(NC)CSP(OC)(OC)=S,0.78
60-57-1,O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,5.3
60-80-0,O=C1C=C(N(N1c2ccccc2)C)C,0.38
60-87-7,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C,4.81
60-92-4,O=P3(O)(OCC4OC(n2cnc1c(ncnc12)N)C(O)C4(O3)),-2.96
60-99-1,O(c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C)C,4.68
61-01-8,O(c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C)C,4.9
61-32-5,O=C(O)C3N2C(=O)C(NC(=O)c1c(OC)cccc1(OC))C2SC3(C)(C),1.22
61-33-6,O=C(O)C3N2C(=O)C(NC(=O)Cc1ccccc1)C2SC3(C)(C),1.83
61-54-1,NCCc2c[nH]c1ccccc12,1.55
61-57-4,O=C1NCCN1c2ncc([N+](=O)[O-])s2,0.95
61-68-7,O=C(O)c2ccccc2(Nc1cccc(c1C)C),5.12
61-72-3,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C),2.48
61-78-9,O=C(O)CNC(=O)c1ccc(N)cc1,-0.89
61-80-3,n1c(oc2ccc(cc12)Cl)N,2.46
61-82-5,n1c[nH]nc1N,-0.86
61-90-5,O=C(O)C(N)CC(C)C,-1.52
62-23-7,O=C(O)c1ccc(cc1)[N+](=O)[O-],1.89
62-38-4,O=C(O[Hg]c1ccccc1)C,0.71
62-44-2,O=C(Nc1ccc(OCC)cc1)C,1.58
62-53-3,Nc1ccccc1,0.9
62-56-6,NC(N)=S,-1.08
62-67-9,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(CC=C)CCC123)C4),1.86
62-73-7,O=P(OC=C(Cl)Cl)(OC)OC,1.47
62-75-9,O=NN(C)C,-0.57
63-05-8,O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3),2.75
63-25-2,O=C(Oc1cccc2ccccc12)NC,2.36
63-68-3,O=C(O)C(N)CCSC,-1.87
63-74-1,O=S(=O)(N)c1ccc(N)cc1,-0.62
63-75-2,O=C(OC)C1=CCCN(C)C1,0.35
63-91-2,O=C(O)C(N)Cc1ccccc1,-1.41
63-98-9,O=C(N)NC(=O)Cc1ccccc1,0.87
63-99-0,O=C(N)Nc1cccc(c1)C,1.29
64-00-6,O=C(Oc1cccc(c1)C(C)C)NC,2.63
64-04-0,NCCc1ccccc1,1.41
64-10-8,O=C(N)Nc1ccccc1,0.83
64-13-1,O(c1ccc(cc1)CC(N)C)C,1.77
64-17-5,OCC,-0.31
64-18-6,O=CO,-0.54
64-19-7,O=C(O)C,-0.17
64-39-1,O=C(OC2(c1ccccc1)(CC(N(C)CC2(C))C))CC,3.13
64-77-7,O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C,2.34
64-85-7,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)CO)CCC12))C3(C)CC4,2.88
64-86-8,O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C),1.3
65-23-6,Oc1c(ncc(c1CO)CO)C,-0.77
65-45-2,O=C(N)c1ccccc1(O),1.28
65-46-3,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O),-2.51
65-49-6,O=C(O)c1ccc(N)cc1(O),0.89
65-85-0,O=C(O)c1ccccc1,1.87
66-25-1,O=CCCCCC,1.78
66-28-4,O=CC45(CCC(O)CC5(O)(CCC2C4(CCC3(C)(C(C1=CC(=O)OC1)CCC23(O))))),0.64
66-71-7,n2cccc3ccc1cccnc1c23,1.78
66-79-5,O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2)C3SC4(C)(C),2.38
66-81-9,O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2,0.55
66-97-7,O=C1Oc2cc3occc3(cc2(C=C1)),1.67
67-20-9,O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-]),-0.47
67-51-6,n1[nH]c(cc1C)C,1.01
67-52-7,O=C1NC(=O)CC(=O)N1,-1.47
67-56-1,OC,-0.77
67-63-0,OC(C)C,0.05
67-64-1,O=C(C)C,-0.24
67-66-3,C(Cl)(Cl)Cl,1.97
67-68-5,O=S(C)C,-1.35
67-71-0,O=S(=O)(C)C,-1.41
67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,4.14
67-73-2,O=C1C=CC4(C(=C1)C(F)CC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C),2.48
67-78-7,O=C(OCC(=O)C3(O)(C(OC(=O)C)CC2C4CCC1=CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))C,1.92
68-11-1,O=C(O)CS,0.09
68-12-2,O=CN(C)C,-1.01
68-22-4,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4,2.97
68-26-8,OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,5.68
68-35-9,O=S(=O)(Nc1ncccn1)c2ccc(N)cc2,-0.09
68-36-0,c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,4.62
68-76-8,O=C1C=C(C(=O)C(=C1N2CC2)N3CC3)N4CC4,-0.13
68-96-2,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4,3.17
69-23-8,FC(F)(F)c1ccc3c(c1)N(c2ccccc2S3)CCCN4CCN(CCO)CC4,4.36
69-33-0,OCC3OC(n2ccc1c(ncnc12)N)C(O)C3(O),-0.8
69-53-4,O=C(O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C),0.11
69-72-7,O=C(O)c1ccccc1(O),2.26
70-00-8,O=C1NC(=O)N(C=C1C(F)(F)F)C2OC(CO)C(O)C2,-0.46
70-11-1,O=C(c1ccccc1)CBr,2.19
70-26-8,O=C(O)C(N)CCCN,-4.22
70-30-4,Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl,7.54
70-47-3,O=C(O)C(N)CC(=O)N,-3.82
70-55-3,O=S(=O)(N)c1ccc(cc1)C,0.82
70-70-2,O=C(c1ccc(O)cc1)CC,2.03
71-00-1,O=C(O)C(N)Cc1nc[nH]c1,-3.32
71-23-8,OCCC,0.25
71-33-0,O=C1N=CNC(=O)N1,-1.87
71-36-3,OCCCC,0.88
71-41-0,OCCCCC,1.51
71-43-2,c1ccccc1,2.13
71-55-6,CC(Cl)(Cl)Cl,2.49
71-63-6,O=C1OCC(=C1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C))),1.85
72-14-0,O=S(=O)(Nc1nccs1)c2ccc(N)cc2,0.05
72-18-4,O=C(O)C(N)C(C)C,-2.26
72-19-5,O=C(O)C(N)C(O)C,-2.94
72-43-5,O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C,5.08
72-54-8,c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl,6.02
72-55-9,c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl,6.51
73-24-5,n1cnc2[nH]cnc2(c1N),-0.07
73-32-5,O=C(O)C(N)C(C)CC,-1.7
73-48-3,O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NC(NS2(=O)(=O))Cc3ccccc3,1.89
74-11-3,O=C(O)c1ccc(cc1)Cl,2.65
74-82-8,C,1.09
74-84-0,CC,1.81
74-85-1,C=C,1.13
74-86-2,C#C,0.37
74-87-3,CCl,0.91
74-88-4,CI,1.51
74-89-5,NC,-0.57
74-90-8,N#C,-0.25
74-95-3,C(Br)Br,1.7
74-96-4,CCBr,1.61
74-97-5,C(Cl)Br,1.41
74-98-6,CCC,2.36
74-99-7,C#CC,0.94
75-00-3,CCCl,1.43
75-03-6,CCI,2
75-04-7,NCC,-0.13
75-05-8,N#CC,-0.34
75-07-0,O=CC,-0.34
75-09-2,C(Cl)Cl,1.25
75-10-5,FCF,0.2
75-11-6,C(I)I,2.3
75-12-7,O=CN,-1.51
75-15-0,C(=S)=S,1.94
75-19-4,C1CC1,1.72
75-21-8,O1CC1,-0.3
75-25-2,C(Br)(Br)Br,2.4
75-26-3,CC(C)Br,2.14
75-27-4,C(Cl)(Cl)Br,2
75-28-5,CC(C)C,2.76
75-30-9,CC(C)I,2.89
75-31-0,NC(C)C,0.26
75-34-3,CC(Cl)Cl,1.79
75-35-4,C=C(Cl)Cl,2.13
75-37-6,FC(F)C,0.75
75-43-4,FC(Cl)Cl,1.55
75-45-6,FC(F)Cl,1.08
75-46-7,FC(F)F,0.64
75-50-3,N(C)(C)C,0.16
75-52-5,O=[N+]([O-])C,-0.35
75-56-9,O1CC1C,0.03
75-63-8,FC(F)(F)Br,1.86
75-64-9,NC(C)(C)C,0.4
75-65-0,OC(C)(C)C,0.35
75-69-4,FC(Cl)(Cl)Cl,2.53
75-72-9,FC(F)(F)Cl,1.65
75-73-0,FC(F)(F)F,1.18
75-74-1,C[Pb](C)(C)C,2.97
75-76-3,C[Si](C)(C)C,3.24
75-83-2,CCC(C)(C)C,3.82
75-84-3,OCC(C)(C)C,1.31
